model,tokenizer_hash
aion-labs/aion-rp-llama-3.1-8b,67fc324caecfd415
alfredpros/codellama-7b-instruct-solidity,962741cd7511c37d
allenai/olmo-2-0325-32b-instruct,26784fdd03afa3e6
allenai/olmo-3-32b-think,26784fdd03afa3e6
allenai/olmo-3-7b-instruct,26784fdd03afa3e6
allenai/olmo-3-7b-think,26784fdd03afa3e6
allenai/olmo-3.1-32b-think,26784fdd03afa3e6
alpindale/goliath-120b,30b5dd763a14d7e7
anthracite-org/magnum-v4-72b,38818af4cf649514
arcee-ai/trinity-mini,ba10081a894be90f
arcee-ai/virtuoso-large,38818af4cf649514
baidu/ernie-4.5-21b-a3b-thinking,9f74176e44216ae8
deepcogito/cogito-v2-preview-llama-109b-moe,4d4c2fc55c2a17e7
deepcogito/cogito-v2-preview-llama-405b,67fc324caecfd415
deepcogito/cogito-v2-preview-llama-70b,67fc324caecfd415
deepseek/deepseek-r1,3385016da0d4b71c
deepseek/deepseek-r1-0528,3385016da0d4b71c
deepseek/deepseek-r1-0528-qwen3-8b,38818af4cf649514
deepseek/deepseek-r1-distill-llama-70b,67fc324caecfd415
deepseek/deepseek-r1-distill-qwen-14b,38818af4cf649514
deepseek/deepseek-r1-distill-qwen-32b,38818af4cf649514
deepseek/deepseek-v3.1-terminus,3385016da0d4b71c
deepseek/deepseek-v3.2,6fdf0e7d03afbd3e
deepseek/deepseek-v3.2-exp,3385016da0d4b71c
deepseek/deepseek-v3.2-speciale,6fdf0e7d03afbd3e
eleutherai/llemma_7b,b7d780ca65618cc4
essentialai/rnj-1-instruct,67fc324caecfd415
google/gemma-2-27b-it,81ec03571ada6b38
google/gemma-2-9b-it,81ec03571ada6b38
google/gemma-3-12b-it,800f6b36cb7bfef7
google/gemma-3-27b-it,800f6b36cb7bfef7
google/gemma-3-4b-it,800f6b36cb7bfef7
google/gemma-3n-e4b-it,800f6b36cb7bfef7
ibm-granite/granite-4.0-h-micro,1b25c2cff11b5070
meta-llama/llama-3.1-405b,67fc324caecfd415
meta-llama/llama-3.1-405b-instruct,67fc324caecfd415
meta-llama/llama-3.1-70b-instruct,67fc324caecfd415
meta-llama/llama-3.1-8b-instruct,67fc324caecfd415
meta-llama/llama-guard-3-8b,67fc324caecfd415
microsoft/phi-3-medium-128k-instruct,30b5dd763a14d7e7
microsoft/phi-3-mini-128k-instruct,30b5dd763a14d7e7
microsoft/phi-4,1b25c2cff11b5070
microsoft/phi-4-multimodal-instruct,3afc5a1ab65d0901
microsoft/phi-4-reasoning-plus,1b25c2cff11b5070
mistralai/mistral-7b-instruct-v0.1,18b807e3add5bdab
mistralai/mistral-7b-instruct-v0.2,18b807e3add5bdab
mistralai/mistral-small-24b-instruct-2501,0a7498e1237d63ac
mistralai/voxtral-small-24b-2507,feef695f10a2f362
moonshotai/kimi-dev-72b,38818af4cf649514
nousresearch/deephermes-3-mistral-24b-preview,0a7498e1237d63ac
nousresearch/hermes-2-pro-llama-3-8b,67fc324caecfd415
nousresearch/hermes-3-llama-3.1-405b,67fc324caecfd415
nousresearch/hermes-3-llama-3.1-70b,67fc324caecfd415
nousresearch/hermes-4-405b,67fc324caecfd415
nousresearch/hermes-4-70b,67fc324caecfd415
openai/gpt-oss-120b,3afc5a1ab65d0901
openai/gpt-oss-20b,3afc5a1ab65d0901
openai/gpt-oss-safeguard-20b,3afc5a1ab65d0901
opengvlab/internvl3-78b,38818af4cf649514
qwen/qwen-2.5-72b-instruct,38818af4cf649514
qwen/qwen-2.5-7b-instruct,38818af4cf649514
qwen/qwen-2.5-coder-32b-instruct,38818af4cf649514
qwen/qwen-2.5-vl-7b-instruct,38818af4cf649514
qwen/qwen2.5-coder-7b-instruct,38818af4cf649514
qwen/qwen2.5-vl-32b-instruct,38818af4cf649514
qwen/qwen2.5-vl-72b-instruct,38818af4cf649514
qwen/qwen3-14b,38818af4cf649514
qwen/qwen3-235b-a22b,38818af4cf649514
qwen/qwen3-235b-a22b-thinking-2507,38818af4cf649514
qwen/qwen3-30b-a3b,38818af4cf649514
qwen/qwen3-30b-a3b-instruct-2507,38818af4cf649514
qwen/qwen3-30b-a3b-thinking-2507,38818af4cf649514
qwen/qwen3-32b,38818af4cf649514
qwen/qwen3-8b,38818af4cf649514
qwen/qwen3-coder-30b-a3b-instruct,38818af4cf649514
qwen/qwen3-next-80b-a3b-instruct,38818af4cf649514
qwen/qwen3-next-80b-a3b-thinking,38818af4cf649514
qwen/qwen3-vl-235b-a22b-instruct,38818af4cf649514
qwen/qwen3-vl-235b-a22b-thinking,38818af4cf649514
qwen/qwen3-vl-30b-a3b-instruct,38818af4cf649514
qwen/qwen3-vl-30b-a3b-thinking,38818af4cf649514
qwen/qwen3-vl-32b-instruct,38818af4cf649514
qwen/qwen3-vl-8b-instruct,38818af4cf649514
qwen/qwen3-vl-8b-thinking,38818af4cf649514
qwen/qwq-32b,38818af4cf649514
sao10k/l3.1-70b-hanami-x1,67fc324caecfd415
stepfun-ai/step3,3385016da0d4b71c
tencent/hunyuan-a13b-instruct,494da27f0ec6dda1
thedrummer/cydonia-24b-v4.1,0a7498e1237d63ac
thedrummer/skyfall-36b-v2,0a7498e1237d63ac
thudm/glm-4.1v-9b-thinking,8f888852849f6647
tngtech/deepseek-r1t-chimera,3385016da0d4b71c
